phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
φ44AHJD,yes,short,Podoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,β-O-GlcNAc modified wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Li et al. 2015,10.1038/srep17219, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q859L1,Q859L1,other tail protein,Tail protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,no specific RBP annotated; using another tail protein (Patrick's fallback),,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",Staphylococcus phage 44AHJD,,,,,high,medium,medium
AR1,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein OmpC from serotype O157:H7,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Yu et al. 2000,10.1128/jb.182.21.5962-5968.2000, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/GQ167032.1,GQ167032.1,specific gene,OmpC,yes,https://www.uniprot.org/uniprotkb/Q9G0B5,Q9G0B5,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpC,,,Escherichia coli,"Escherichia coli strain EC-937-2/07 outer membrane protein C (ompC) gene, complete cds",Escherichia phage AR1,,,,,high,high,high
fPS-10,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
M5940,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,Pip,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Millen et al. 2018,10.1099/jgv.0.000499, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'Membrane Proteins',,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,resolved,Genetic determinants of lactococcal C2viruses for host infection and their role in phage evolution,uncorroborated,"M5940 appears in 1 record(s), but none co-mention 'Membrane Proteins'",high,medium,none
CTXφ,no,none (filamentous),Inoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,"pilus, cell wall",toxin coregulated pilus directs phage to TolQRA at outer membrane,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Heilpern and Waldor 2000, Waldor and Mekalanos 1996","10.1128/jb.182.6.1739-1747.2000 (Heilpern and Waldor), 10.1126/science.272.5270.1910 (Waldor and Mekalanos)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q9G0B2,Q9G0B2,specific RBP,OrfU receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: Membrane Proteins, Pili",host genome fallback: no gene symbol in receptor,,,Vibrio cholerae,"Vibrio cholerae strain GD25VC001 chromosome 1, complete sequence",Affertcholeramvirus CTXphi,resolved,"CTXφ Infection of
            <i>Vibrio cholerae</i>
            Requires the
            <i>tolQRA</i>
            Gene Products",corroborated,358 independent record(s) link CTXφ to pilus,low,medium,high
iEPS5,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,counter clockwise rotation of flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Choi et al. 2013,10.1128/AEM.00706-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/R9XKT8,R9XKT8,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",Salmonella phage iEPS5,,,,,high,medium,high
mEp450,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
BAM35,no,"none (icosahedral, internal membrane)",Tectiviridae,Bacillus thuringiensis,1428,Bacillus thuringiensis,Gram positive,cell wall,N-Acetyl-muramic acid of peptidoglycan,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Gaidelyte et al. 2006,10.1128/JB.00107-06, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP146103.1,NZ_CP146103.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Bacillus thuringiensis,"Bacillus thuringiensis strain LBA001 chromosome, complete genome",,,,,,none,medium,none
φSa2mw,yes,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,α-GlcNAc residues of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",,,,,,high,medium,none
φ6,no,"none (enveloped, dsRNA)",Cystoviridae,Pseudomonas syringae pv. phaseolicola,319,Pseudomonas savastanoi pv. phaseolicola,Gram negative,pili,pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Vidaver et al. 1973, Bamford et al. 1976","10.1128/jvi.11.5.799-805.1973 (Vidaver et al), 10.1099/0022-1317-32-2-249 (Bamford et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184895.1,NZ_CP184895.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/P11129,P11129,specific RBP,Spike protein P3,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,name collision resolved by host; other candidates: Cystovirus phi6,host renamed in NCBI: Pseudomonas syringae pv. phaseolicola -> Pseudomonas savastanoi pv. phaseolicola,Pseudomonas savastanoi pv. phaseolicola,"Pseudomonas savastanoi pv. phaseolicola strain NCSU_AHP145 chromosome, complete genome",Pseudomonas phage phi6,,,,,high,medium,high
S134,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
HEf13,yes,long non-contractile,Siphoviridae,Enterococcus faecalis,1351,Enterococcus faecalis,Gram positive,cell wall,PIPEF,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Lee et al. 2019,10.3389/fmicb.2019.02877, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191290.1,NZ_CP191290.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Enterococcus faecalis,"Enterococcus faecalis strain Efa-W4 chromosome, complete genome",,,,,,none,medium,none
mEp174,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,no independent literature found for this phage,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,resolved,An orthologue of the cor gene is involved in the exclusion of temperate lambdoid phages. Evidence that Cor inactivates FhuA receptor functions,no literature,no independent literature found for mEp174,high,high,none
IF1,no,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,"pilus, periplasm","I pilus as primary receptor, TolA (C-terminal domain) as secondary receptor",Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Meynell and Lawn  1968, Lorenz et al. 2011","10.1038/2171184a0 (Meynell and Lawn), 10.1016/j.jmb.2010.11.030 (Lorenz et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M28232.1,M28232.1,specific gene,TolA,yes,https://www.uniprot.org/uniprotkb/O80297,O80297,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,"multi-domain resolved by cue; also present: Membrane Proteins, Pili",specific receptor gene TolA,,,Escherichia coli,"E.coli tolerance to colicins (tolA and tolB) genes, complete cds",Escherichia phage If1,,,,,medium,high,high
493,no,none (filamentous),Inoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,pili,mannose sensitive hemagglutinin (MSHA) type IV pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Jouravelva et a. 1998,10.1128/iai.66.6.2535-2539.1998, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Vibrio cholerae,"Vibrio cholerae strain GD25VC001 chromosome 1, complete sequence",,,,,,high,medium,none
M102,yes,long non-contractile,Siphoviridae,Streptococcus mutans,1309,Streptococcus mutans,Gram negative,cell wall,glucose side chain of rhamnose-glucose polysaccharide,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Shibata et al. 2009,10.1111/j.1574-6968.2009.01546.x, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021318.1,NZ_CP021318.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Streptococcus mutans,Streptococcus mutans strain KCOM 1054 (= ChDC YM3) chromosome,,,,,,none,medium,none
γ,yes,long non-contractile,Siphoviridae,Bacillus anthracis,1392,Bacillus anthracis,Gram positive,cell wall,membrane surface anchored protein gamma phage receptor (GamR),N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Davison et al. 2005,10.1128/JB.187.19.6742–6749.2005, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP009902.1,NZ_CP009902.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: gene(s) GamR not found,phage present in UniProt but no tail/RBP protein annotated,,Bacillus anthracis,"Bacillus anthracis strain 2002013094 chromosome, complete genome",,resolved,Identification of the<i>Bacillus anthracis</i>γ Phage Receptor,corroborated,31 independent record(s) link γ to GamR,none,medium,none
F377,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,resolved,Primary Isolation Strain Determines Both Phage Type and Receptors Recognised by Campylobacter jejuni Bacteriophages,uncorroborated,"F377 appears in 51 record(s), but none co-mention 'flagell'",high,medium,none
mEp120,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,no independent literature found for this phage,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,resolved,"Analysis of some phenotypic traits of feces-borne temperate lambdoid bacteriophages from different immunity groups: a high incidence of cor+, FhuA-dependent phages",no literature,no independent literature found for mEp120,high,high,none
pilHα,no,"none (icosahedral, ssRNA)",Leviviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,H pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Coetzee et al. 1985B,10.1099/00221287-131-5-1115, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",,,,,,high,medium,none
ϕE202,yes,contractile,Myoviridae,Burkholderia thailandensis,57975,Burkholderia thailandensis,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Ronning et al. 2010,10.1186/1471-2180-10-202, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP166681.1,NZ_CP166681.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A4JWT0,A4JWT0,other tail protein,"Gp33, phage tail protein I",PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,UniProt organism 'Burkholderia phage phiE202' does not name phage 'ϕE202',,host genome fallback: no gene symbol in receptor,no specific RBP annotated; using another tail protein (Patrick's fallback),,Burkholderia thailandensis,"Burkholderia thailandensis strain HNBT001 chromosome 1, complete sequence",Burkholderia phage phiE202,resolved,Genetic and phenotypic diversity in Burkholderia: contributions by prophage and phage-like elements,corroborated,3 independent record(s) link ϕE202 to LPS,high,medium,medium
F371,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
