phage,tailed,tail_morphology,family,main_host,host_taxid,host_canonical_name,gram_stain,receptor_location,host_receptor,receptor_domain,domain_class,host_range,host_range_basis,host_range_confidence,host_range_note,reference,doi,comments,verified,has_genbank,genbank_link,genbank_accession,genbank_tier,genbank_gene,has_uniprot,uniprot_link,uniprot_accession,uniprot_tier,uniprot_protein,source,source_citation,date_retrieved,needs_review,review_reasons,domain_confidence,genbank_confidence,uniprot_confidence
iEPS5,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,counter clockwise rotation of flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Choi et al. 2013,10.1128/AEM.00706-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/R9XKT8,R9XKT8,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
mEp450,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
BAM35,False,"none (icosahedral, internal membrane)",Tectiviridae,Bacillus thuringiensis,1428,Bacillus thuringiensis,Gram positive,cell wall,N-Acetyl-muramic acid of peptidoglycan,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Gaidelyte et al. 2006,10.1128/JB.00107-06, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP146103.1,NZ_CP146103.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
φSa2mw,True,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,α-GlcNAc residues of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Xia et al. 2011,10.1128/JB.01412-10, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φ6,False,"none (enveloped, dsRNA)",Cystoviridae,Pseudomonas syringae pv. phaseolicola,319,Pseudomonas savastanoi pv. phaseolicola,Gram negative,pili,pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Vidaver et al. 1973, Bamford et al. 1976","10.1128/jvi.11.5.799-805.1973 (Vidaver et al), 10.1099/0022-1317-32-2-249 (Bamford et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184895.1,NZ_CP184895.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/P11129,P11129,specific RBP,Spike protein P3,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
S134,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
HEf13,True,long non-contractile,Siphoviridae,Enterococcus faecalis,1351,Enterococcus faecalis,Gram positive,cell wall,PIPEF,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Lee et al. 2019,10.3389/fmicb.2019.02877, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191290.1,NZ_CP191290.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
mEp174,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,no independent literature found for this phage,high,high,none
IF1,False,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,"pilus, periplasm","I pilus as primary receptor, TolA (C-terminal domain) as secondary receptor",Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Meynell and Lawn  1968, Lorenz et al. 2011","10.1038/2171184a0 (Meynell and Lawn), 10.1016/j.jmb.2010.11.030 (Lorenz et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M28232.1,M28232.1,specific gene,TolA,True,https://www.uniprot.org/uniprotkb/O80297,O80297,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,medium,high,high
493,False,none (filamentous),Inoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,pili,mannose sensitive hemagglutinin (MSHA) type IV pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Jouravelva et a. 1998,10.1128/iai.66.6.2535-2539.1998, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
M102,True,long non-contractile,Siphoviridae,Streptococcus mutans,1309,Streptococcus mutans,Gram negative,cell wall,glucose side chain of rhamnose-glucose polysaccharide,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Shibata et al. 2009,10.1111/j.1574-6968.2009.01546.x, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021318.1,NZ_CP021318.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
γ,True,long non-contractile,Siphoviridae,Bacillus anthracis,1392,Bacillus anthracis,Gram positive,cell wall,membrane surface anchored protein gamma phage receptor (GamR),N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Davison et al. 2005,10.1128/JB.187.19.6742–6749.2005, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP009902.1,NZ_CP009902.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
F377,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
mEp120,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,no independent literature found for this phage,high,high,none
pilHα,False,"none (icosahedral, ssRNA)",Leviviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,H pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Coetzee et al. 1985B,10.1099/00221287-131-5-1115, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
ϕE202,True,contractile,Myoviridae,Burkholderia thailandensis,57975,Burkholderia thailandensis,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Ronning et al. 2010,10.1186/1471-2180-10-202, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP166681.1,NZ_CP166681.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A4JWT0,A4JWT0,other tail protein,"Gp33, phage tail protein I",PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,UniProt organism 'Burkholderia phage phiE202' does not name phage 'ϕE202',high,medium,medium
F371,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
P272,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q71AW0,Q71AW0,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
mEp500,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,no independent literature found for this phage,high,high,none
K139,True,contractile,Myoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,O1 antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Nesper et al. 2000,10.1128/jb.182.18.5097-5104.2000, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
sk1,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,rhamnose in carbohydrates in cell wall,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Valyasevi et al. 1994,10.3168/jds.s0022-0302(94)76921-6, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/O21886,O21886,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
YpP-G,True,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,HepI/Glc residues are also involved in receptor activity,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Filippov et al. 2011,10.1371/journal.pone.0025486, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'LPS',high,medium,none
JM2,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/R9R109,R9R109,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
mEp410,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
F373,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
M1,True,contractile,Myoviridae,Escherichia coli ,562,Escherichia coli,Gram negative,cell wall,Protein OmpA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hashemolhosseini et al. 1994,10.1006/jmbi.1994.1424, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,True,https://www.uniprot.org/uniprotkb/P08231,P08231,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
F385,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
K10,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Outer membrane protein LamB (maltodextran selective channel),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Roa 1979,10.1128/jb.140.2.680-686.1979, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M26131.1,M26131.1,specific gene,LamB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
APK89,True,short,Autographiviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Popova et al. 2021,10.1128/JVI.01714-20, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
JS09,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Zhou et al. 2021,10.1128/mSphere.01286-20, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
